Sex,Site,State,Year,Rate
Both,All Sites,Tennessee,2004,156.8
Both,All Sites,Texas,2004,147.1
Both,All Sites,Utah,2004,140.1
Both,All Sites,Virginia,2004,144.9
Both,All Sites,Vermont,2004,176
Both,All Sites,Washington,2004,157
Both,All Sites,Wisconsin,2004,148.6
Both,All Sites,West Virginia,2004,170.9
Both,All Sites,Wyoming,2004,137.2
Both,All Sites,Alaska,2005,146
Both,All Sites,Alabama,2005,158.7
Both,All Sites,Arkansas,2005,150.4
Both,All Sites,Arizona,2005,135.3
Both,All Sites,California,2005,139.7
Both,All Sites,Colorado,2005,139.2
Both,All Sites,Connecticut,2005,176.6
Both,All Sites,District of Columbia,2005,179.3
Both,All Sites,Delaware,2005,167.8
Both,All Sites,Florida,2005,168.4
Both,All Sites,Georgia,2005,160.2
Both,All Sites,Hawaii,2005,163.5
Both,All Sites,Idaho,2005,154
Both,All Sites,Illinois,2005,152.3
Both,All Sites,Indiana,2005,152.4
Both,All Sites,Iowa,2005,156.9
Both,All Sites,Kansas,2005,161.7
Both,All Sites,Kentucky,2005,175.7
Both,All Sites,Louisiana,2005,150.3
Both,All Sites,Massachusetts,2005,170.1
Both,All Sites,Maryland,2005,157.6
Both,All Sites,Maine,2005,169.6
Both,All Sites,Michigan,2005,168
Both,All Sites,Minnesota,2005,151.7
Both,All Sites,Missouri,2005,161.3
Both,All Sites,Mississippi,2005,155.4
Both,All Sites,Montana,2005,150
Both,All Sites,North Carolina,2005,169.8
Both,All Sites,North Dakota,2005,144.4
Both,All Sites,Nebraska,2005,160.4
Both,All Sites,New Hampshire,2005,176.4
Both,All Sites,New Jersey,2005,170
Both,All Sites,New Mexico,2005,144.4
Both,All Sites,Nevada,2005,138.7
Both,All Sites,New York,2005,168.2
Both,All Sites,Ohio,2005,161.1
Both,All Sites,Oklahoma,2005,150.5
Both,All Sites,Oregon,2005,146.2
Both,All Sites,Pennsylvania,2005,168.7
Both,All Sites,Rhode Island,2005,174.9
Both,All Sites,South Carolina,2005,160.7
Both,All Sites,South Dakota,2005,147.2
Both,All Sites,Tennessee,2005,165.9
Both,All Sites,Texas,2005,146.6
Both,All Sites,Utah,2005,140
Both,All Sites,Virginia,2005,147.5
Both,All Sites,Vermont,2005,173.5
Both,All Sites,Washington,2005,162.3
Both,All Sites,Wisconsin,2005,148.8
Both,All Sites,West Virginia,2005,178.8
Both,All Sites,Wyoming,2005,137.1
Both,All Sites,Alaska,2006,151.5
Both,All Sites,Alabama,2006,160.5
Both,All Sites,Arkansas,2006,147.6
Both,All Sites,Arizona,2006,139.7
Both,All Sites,California,2006,138.8
Both,All Sites,Colorado,2006,139.7
Both,All Sites,Connecticut,2006,175.7
Both,All Sites,District of Columbia,2006,168.6
Both,All Sites,Delaware,2006,172.8
Both,All Sites,Florida,2006,165.2
Both,All Sites,Georgia,2006,154
Both,All Sites,Hawaii,2006,159.2
Both,All Sites,Idaho,2006,156
Both,All Sites,Illinois,2006,158.4
Both,All Sites,Indiana,2006,157.6
Both,All Sites,Iowa,2006,162.3
Both,All Sites,Kansas,2006,159.8
Both,All Sites,Kentucky,2006,181.9
Both,All Sites,Louisiana,2006,158.6
Both,All Sites,Massachusetts,2006,175.7
Both,All Sites,Maryland,2006,155.9
Both,All Sites,Maine,2006,173.7
Both,All Sites,Michigan,2006,166
Both,All Sites,Minnesota,2006,156.2
Both,All Sites,Missouri,2006,157.9
Both,All Sites,Mississippi,2006,161.5
Both,All Sites,Montana,2006,156.5
Both,All Sites,North Carolina,2006,166
Both,All Sites,North Dakota,2006,146.4
Both,All Sites,Nebraska,2006,153.1
Both,All Sites,New Hampshire,2006,182.7
Both,All Sites,New Jersey,2006,173
Both,All Sites,New Mexico,2006,143
Both,All Sites,Nevada,2006,137.6
Both,All Sites,New York,2006,170.1
Both,All Sites,Ohio,2006,161.6
Both,All Sites,Oklahoma,2006,162.1
Both,All Sites,Oregon,2006,149.3
Both,All Sites,Pennsylvania,2006,173
Both,All Sites,Rhode Island,2006,178.2
Both,All Sites,South Carolina,2006,161.9
Both,All Sites,South Dakota,2006,139.8
Both,All Sites,Tennessee,2006,170.1
Both,All Sites,Texas,2006,145.9
Both,All Sites,Utah,2006,147.3
Both,All Sites,Virginia,2006,150.1
Both,All Sites,Vermont,2006,177.3
Both,All Sites,Washington,2006,159.1
Both,All Sites,Wisconsin,2006,155.1
Both,All Sites,West Virginia,2006,178.5
Both,All Sites,Wyoming,2006,156.8
Both,All Sites,Alaska,2007,143.3
Both,All Sites,Alabama,2007,161.5
Both,All Sites,Arkansas,2007,151.9
Both,All Sites,Arizona,2007,140
Both,All Sites,California,2007,140
Both,All Sites,Colorado,2007,148.2
Both,All Sites,Connecticut,2007,175.6
Both,All Sites,District of Columbia,2007,188.4
Both,All Sites,Delaware,2007,179.8
Both,All Sites,Florida,2007,165.8
Both,All Sites,Georgia,2007,161.1
Both,All Sites,Hawaii,2007,172.3
Both,All Sites,Idaho,2007,153.6
Both,All Sites,Illinois,2007,160.3
Both,All Sites,Indiana,2007,159.2
Both,All Sites,Iowa,2007,169
Both,All Sites,Kansas,2007,171
Both,All Sites,Kentucky,2007,180.7
Both,All Sites,Louisiana,2007,158.5
Both,All Sites,Massachusetts,2007,174.2
Both,All Sites,Maryland,2007,160.6
Both,All Sites,Maine,2007,171.8
Both,All Sites,Michigan,2007,170.2
Both,All Sites,Minnesota,2007,161.4
Both,All Sites,Missouri,2007,164.1
Both,All Sites,Mississippi,2007,160.7
